Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
1.00149999999995	-0.00024	-0.003457	-0.109635	0.001608	0.000252	-0.009865	0.007239	0.002354
1.00199999999995	-0.00079	-0.001079	-0.121857	0.001963	0.000726	-0.006929	0.007955	0.002255
1.00249999999995	7.8e-05	0.00202	-0.09406	0.001824	0.00225	0.000848	0.004387	0.000352
1.00299999999995	0.001561	0.003639	-0.049451	0.000798	0.004992	0.00654	-0.004313	-0.002056
1.00349999999994	0.001912	0.002588	-0.016494	-0.000299	0.005813	0.004423	-0.014953	-0.003361
1.00399999999994	0.001645	0.00049	-0.005634	-0.000224	0.002227	-0.000416	-0.022342	-0.002894
1.00449999999994	0.001793	-0.000333	-0.007064	-0.000497	-0.002679	0.001501	-0.025072	-0.002559
1.00499999999994	0.001959	-0.000534	-0.007225	-0.002137	-0.004934	0.009646	-0.024949	-0.003466
1.00549999999994	0.001909	-0.001554	-0.002263	-0.002394	-0.0052	0.01583	-0.023356	-0.002865
1.00599999999994	0.002545	-0.002178	0.003644	-0.000901	-0.005021	0.01687	-0.021369	0.001087
1.00649999999994	0.003708	-0.001294	0.00634	-0.000428	-0.004575	0.014896	-0.019128	0.005664
1.00699999999994	0.003669	-0.000256	0.005267	-0.000658	-0.004849	0.011105	-0.015728	0.007351
1.00749999999994	0.002964	-0.00054	0.002188	-0.000414	-0.005408	0.00549	-0.011408	0.005752
1.00799999999994	0.004039	-0.002429	-0.000414	-0.000666	-0.004372	-0.003017	-0.00662	0.004259
1.00849999999994	0.006126	-0.004741	-0.000719	-0.001194	-0.002989	-0.016274	-0.001289	0.00608
1.00899999999994	0.006423	-0.004823	2.7e-05	-0.000642	-0.003262	-0.031972	0.003716	0.009864
1.00949999999994	0.005353	-0.002392	-0.000568	0.00023	-0.003183	-0.040784	0.007636	0.013811
1.00999999999994	0.004654	-0.000828	-0.001681	0.000682	-0.000813	-0.034129	0.010258	0.020563
1.01049999999994	0.003696	-0.001119	-0.001202	0.00185	0.00127	-0.016603	0.011398	0.030204
1.01099999999994	0.002255	-0.001078	0.000294	0.002518	0.000538	-0.004513	0.011051	0.034093
1.01149999999994	0.001665	-0.001446	0.000745	0.000956	-0.001623	-0.007279	0.008487	0.026488
1.01199999999994	0.002377	-0.002949	-1.2e-05	-0.001219	-0.002752	-0.014965	0.004251	0.013175
1.01249999999994	0.003567	-0.002094	-0.00063	-0.002866	-0.002016	-0.010722	0.001498	0.001421
1.01299999999994	0.003464	0.001749	-0.000601	-0.003049	-0.000523	0.00737	0.002162	-0.006622
1.01349999999994	0.000939	0.004366	-0.000384	-0.000413	0.00045	0.025346	0.004857	-0.011449
1.01399999999994	-0.001394	0.00355	-0.000836	0.002278	0.001369	0.031299	0.006727	-0.015419
1.01449999999994	0.000113	0.00109	-0.001701	0.001779	0.002278	0.025485	0.006154	-0.020021
1.01499999999994	0.003692	-0.000194	-0.001171	0.000456	0.001635	0.015997	0.003986	-0.022862
1.01549999999994	0.005703	0.000425	0.000992	0.000938	0.000157	0.011058	0.001949	-0.021654
1.01599999999994	0.006821	0.001845	0.002011	0.001671	8.7e-05	0.012899	0.001006	-0.018094
1.01649999999994	0.008489	0.003119	0.000377	0.001872	1.4e-05	0.015592	0.001437	-0.014798
1.01699999999994	0.011022	0.003766	-0.000751	0.001821	-0.001571	0.011604	0.002644	-0.013092
1.01749999999994	0.014617	0.003982	0.001044	0.000874	-0.00175	0.001227	0.003187	-0.01223
1.01799999999994	0.017843	0.003221	0.003278	0.000165	0.000735	-0.007056	0.002598	-0.008353
1.01849999999994	0.019921	0.000894	0.003865	0.000803	0.002879	-0.00421	0.002257	-0.000571
1.01899999999994	0.022048	-0.000347	0.003636	0.002114	0.002951	0.011741	0.003777	0.006924
1.01949999999994	0.024239	0.002051	0.003435	0.003672	0.00152	0.033716	0.007188	0.012713
1.01999999999994	0.02499	0.005893	0.003842	0.004466	-0.000592	0.051861	0.010188	0.017599
1.02049999999994	0.023962	0.00705	0.005025	0.003201	-0.002046	0.061757	0.010139	0.019173
1.02099999999994	0.022367	0.004578	0.00641	0.000382	-0.002166	0.064415	0.007007	0.01535
1.02149999999994	0.020128	0.001322	0.008425	-0.002143	-0.002163	0.059896	0.002708	0.009082
1.02199999999994	0.016251	0.000143	0.011191	-0.002824	-0.002513	0.045857	-0.000242	0.005648
1.02249999999994	0.010791	0.001137	0.012632	-0.001541	-0.002378	0.02329	-0.000361	0.006345
1.02299999999994	0.000994	0.002121	0.011691	0.000484	-0.002164	0.000759	0.000439	0.008725
1.02349999999994	-0.019785	0.001387	0.010286	0.001453	-0.002715	-0.011252	-0.000353	0.011875
1.02399999999994	-0.052333	-0.000357	0.010289	0.000639	-0.003832	-0.011481	-0.002292	0.01568
1.02449999999994	-0.083149	-0.001426	0.011503	-0.000525	-0.004732	-0.009442	-0.003196	0.017865
1.02499999999994	-0.093152	-0.001353	0.011855	-0.000507	-0.004235	-0.015837	-0.001473	0.016658
1.02549999999994	-0.077402	-0.001087	0.007989	0.000429	-0.002177	-0.031348	0.001827	0.014162
1.02599999999994	-0.049849	-0.001469	-0.000592	0.000863	-0.000127	-0.043585	0.003592	0.013451
1.02649999999994	-0.026758	-0.002318	-0.008969	0.000566	0.000511	-0.042277	0.00267	0.013747
1.02699999999994	-0.013671	-0.002735	-0.011892	0.001412	-0.000224	-0.035284	0.000374	0.012705
1.02749999999994	-0.008633	-0.002099	-0.007447	0.003748	-0.000786	-0.036186	-0.002697	0.010351
1.02799999999994	-0.008093	-0.000939	0.002745	0.004463	0.000364	-0.041881	-0.006122	0.007518
1.02849999999994	-0.008547	-0.000149	0.013009	0.001638	0.002434	-0.037606	-0.008429	0.005166
1.02899999999994	-0.008317	-0.000185	0.018328	-0.001692	0.002756	-0.020435	-0.008771	0.004828
1.02949999999994	-0.006969	-0.000289	0.019062	-0.002377	0.000149	-0.004752	-0.007185	0.00495
1.02999999999994	-0.00345	0.000506	0.017814	-0.001269	-0.00325	-0.003644	-0.004813	0.001374
1.03049999999994	0.001522	0.000922	0.015173	0.000636	-0.004823	-0.015766	-0.003517	-0.005158
1.03099999999994	0.005177	0.000125	0.009569	0.002463	-0.003901	-0.030657	-0.003056	-0.008614
1.03149999999994	0.006828	-0.000168	0.00122	0.002479	-0.001193	-0.036896	-0.00154	-0.005678
1.03199999999994	0.007847	0.000511	-0.005926	0.002029	0.001022	-0.028228	0.001114	0.000277
1.03249999999994	0.008881	0.000344	-0.008912	0.003267	0.001329	-0.008962	0.002869	0.002847
1.03299999999994	0.010175	-0.001654	-0.008669	0.004635	0.001667	0.009208	0.00279	-0.000718
1.03349999999994	0.011587	-0.004508	-0.007771	0.004431	0.003598	0.017826	0.002233	-0.006794
1.03399999999994	0.01164	-0.006544	-0.008081	0.003946	0.005897	0.017151	0.002097	-0.009587
1.03449999999994	0.009638	-0.006338	-0.009911	0.003701	0.006664	0.012062	0.001966	-0.008041
1.03499999999994	0.00689	-0.003954	-0.012567	0.001738	0.00491	0.007528	0.00185	-0.00601
1.03549999999994	0.00463	-0.001689	-0.014068	-0.00134	0.00164	0.008012	0.001552	-0.005038
1.03599999999994	0.003839	-0.001213	-0.012496	-0.002575	0.000521	0.015212	-2.9e-05	-0.003781
1.03649999999994	0.005509	-0.0016	-0.009706	-0.002362	0.003926	0.024812	-0.003032	-0.002443
1.03699999999994	0.009817	-0.001603	-0.008913	-0.002612	0.008204	0.029574	-0.00579	-0.002259
1.03749999999994	0.01727	-0.001347	-0.010122	-0.003303	0.008515	0.02423	-0.006651	-0.003956
1.03799999999994	0.027183	-0.001572	-0.011386	-0.004358	0.00545	0.005756	-0.005674	-0.006366
1.03849999999994	0.03502	-0.002145	-0.010626	-0.005739	0.002423	-0.023463	-0.004354	-0.007334
1.03899999999994	0.03624	-0.002182	-0.007467	-0.005882	0.00101	-0.053633	-0.003817	-0.007008
1.03949999999994	0.031435	-0.001523	-0.004236	-0.00432	0.000523	-0.077243	-0.002932	-0.006787
1.03999999999994	0.02554	-0.000781	-0.002254	-0.003333	0.000478	-0.095736	-0.00019	-0.006398
1.04049999999994	0.022097	-0.000405	-0.000768	-0.003659	0.001651	-0.10895	0.003363	-0.004373
1.04099999999994	0.019577	-0.000298	-0.00014	-0.003641	0.003575	-0.108223	0.006551	-0.000846
1.04149999999994	0.01408	-0.000299	-0.000918	-0.002361	0.003877	-0.091982	0.010072	0.002414
1.04199999999994	0.006189	-0.00016	-0.001166	-0.000657	0.001938	-0.075325	0.013512	0.002829
1.04249999999994	0.003169	0.000345	0.000384	-0.000332	0.000495	-0.070265	0.013987	-0.001495
1.04299999999994	0.006238	0.000739	0.001229	-0.000465	0.001739	-0.067973	0.009602	-0.006473
1.04349999999994	0.000371	0.001093	-0.000689	0.001208	0.004329	-0.052544	0.002838	-0.005352
1.04399999999994	-0.028245	0.002129	-0.003218	0.003285	0.005158	-0.026221	-0.001861	0.000536
1.04449999999994	-0.067321	0.003247	-0.003322	0.003878	0.002748	-0.009659	-0.003134	0.003788
1.04499999999994	-0.085009	0.003042	-0.001364	0.003664	-0.00089	-0.016867	-0.002605	0.002792
1.04549999999994	-0.063674	0.001458	0.000345	0.003381	-0.002274	-0.033559	-0.002136	0.002198
1.04599999999994	-0.020103	-0.000132	0.001393	0.003523	-0.001007	-0.02516	-0.003399	0.002866
1.04649999999994	0.011882	-0.000742	0.002698	0.004622	-0.000433	0.023272	-0.005941	0.001883
1.04699999999994	0.016234	-1.4e-05	0.004134	0.005352	-0.001606	0.084461	-0.006671	-0.000376
1.04749999999994	0.004511	0.001153	0.005592	0.004456	-0.001369	0.119952	-0.005617	-0.001041
1.04799999999994	-0.004779	0.000368	0.008306	0.003162	0.001046	0.121304	-0.005879	0.000185
1.04849999999994	-0.003824	-0.001861	0.012679	0.001947	0.002565	0.110649	-0.006894	0.000101
1.04899999999994	0.003259	-0.001813	0.017048	0.000294	0.001375	0.107746	-0.005834	-0.00233
1.04949999999994	0.008046	0.00141	0.020157	-0.000273	-0.001548	0.108902	-0.001891	-0.004298
1.04999999999994	0.006784	0.004586	0.020319	0.000839	-0.004287	0.10171	0.004704	-0.005559
1.05049999999994	0.002657	0.005056	0.011439	-0.001712	-0.005611	0.08607	0.012439	-0.008387
1.05099999999994	0.000173	0.003696	-0.012908	-0.01518	-0.006138	0.070938	0.018198	-0.010863
1.05149999999994	-0.000147	0.002744	-0.049706	-0.037419	-0.007175	0.059845	0.020142	-0.008258
1.05199999999994	0.000296	0.003072	-0.087172	-0.05691	-0.007652	0.048985	0.01896	-0.002366
1.05249999999994	0.00043	0.003871	-0.114922	-0.065957	-0.006006	0.034948	0.01658	0.000139
1.05299999999994	-0.00066	0.004228	-0.127001	-0.067652	-0.003827	0.018922	0.014142	-0.00052
1.05349999999994	-0.000959	0.004943	-0.122154	-0.070119	-0.002792	0.005812	0.010711	0.000952
1.05399999999994	0.001702	0.006256	-0.109282	-0.074866	-0.003241	-0.00052	0.006051	0.004741
1.05449999999994	0.004481	0.006411	-0.099872	-0.074142	-0.005931	-0.002032	0.002517	0.006433
1.05499999999994	0.004212	0.004833	-0.089419	-0.061703	-0.00888	-0.004062	0.001421	0.003603
1.05549999999994	0.002385	0.002562	-0.05863	-0.038438	-0.007859	-0.009085	0.001333	-0.001592
1.05599999999994	0.001753	0.000105	0.001736	-0.008006	-0.003041	-0.013941	0.000762	-0.004399
1.05649999999994	0.002455	-0.001914	0.073453	0.0255	0.001042	-0.01158	-7.5e-05	-0.00091
1.05699999999994	0.002938	-0.001531	0.124255	0.056345	0.002432	0.002254	-0.000943	0.009129
1.05749999999994	0.002247	0.001398	0.133503	0.079172	0.00261	0.020435	-0.003427	0.022593
1.05799999999994	0.001262	0.002838	0.102776	0.092762	0.001912	0.027294	-0.008779	0.033726
1.05849999999994	0.001146	-4.4e-05	0.056114	0.098121	0.000454	0.017292	-0.015403	0.034368
1.05899999999994	0.001202	-0.004419	0.029714	0.096152	4e-06	0.003635	-0.020211	0.021974
1.05949999999994	0.001196	-0.00585	0.043334	0.089373	0.001354	0.000663	-0.022422	0.006159
1.05999999999994	0.002016	-0.003982	0.081995	0.081161	0.002651	0.006965	-0.02446	-0.001288
1.06049999999994	0.003001	-0.00205	0.113827	0.073121	0.001872	0.011488	-0.027737	0.000368
1.06099999999994	0.003343	-0.001767	0.121232	0.064736	-4.7e-05	0.008193	-0.030105	0.002825
1.06149999999994	0.003788	-0.002024	0.110119	0.055104	-0.001889	0.001146	-0.028468	0.001326
1.06199999999994	0.005459	-0.001877	0.092529	0.044155	-0.004144	-0.000776	-0.021794	-0.001718
1.06249999999994	0.00825	-0.00153	0.070126	0.033007	-0.005439	0.006584	-0.012301	-0.003861
1.06299999999994	0.009885	-0.001675	0.040131	0.02393	-0.004451	0.017317	-0.004197	-0.005793
1.06349999999994	0.009024	-0.00278	0.008298	0.016419	-0.003716	0.020353	0.000298	-0.00912
1.06399999999994	0.007606	-0.004198	-0.013508	0.005818	-0.005223	0.010474	0.001677	-0.014186
1.06449999999994	0.007378	-0.004307	-0.019976	-0.008954	-0.006242	-0.006345	0.000913	-0.020013
1.06499999999994	0.007566	-0.002365	-0.016934	-0.022248	-0.003753	-0.020266	-0.000161	-0.024807
1.06549999999994	0.006914	0.00034	-0.011473	-0.02919	0.001085	-0.027824	-1.3e-05	-0.026622
1.06599999999994	0.005733	0.002598	-0.00252	-0.030606	0.006305	-0.031005	0.000583	-0.02661
1.06649999999994	0.004646	0.003897	0.012603	-0.028813	0.011259	-0.030373	0.000771	-0.026907
1.06699999999994	0.003905	0.003393	0.029726	-0.023895	0.014029	-0.023752	0.00112	-0.024822
1.06749999999994	0.004583	0.001989	0.041273	-0.01803	0.012651	-0.011946	0.002204	-0.017589
1.06799999999994	0.00549	0.00184	0.038303	-0.015198	0.007952	-0.005697	0.003687	-0.008399
1.06849999999994	0.003234	0.002584	0.013771	-0.015561	0.002495	-0.016058	0.005569	-0.002213
1.06899999999994	-0.001075	0.001977	-0.023373	-0.01802	-0.001171	-0.033449	0.009081	-0.000212
1.06949999999994	-0.003275	-0.000458	-0.048563	-0.021675	-0.001183	-0.034527	0.014219	0.000371
1.06999999999994	-0.002883	-0.002823	-0.047212	-0.022524	0.001533	-0.012548	0.018543	0.002399
1.07049999999994	-0.00171	-0.00389	-0.029873	-0.018075	0.003577	0.017188	0.019263	0.005329
1.07099999999994	0.000291	-0.004726	-0.01642	-0.01278	0.003328	0.040579	0.016381	0.006181
1.07149999999994	0.003203	-0.006353	-0.014391	-0.010993	0.001789	0.056567	0.014367	0.004786
1.07199999999994	0.004821	-0.00707	-0.018384	-0.011059	0.000608	0.066067	0.015895	0.003867
1.07249999999994	0.003373	-0.004578	-0.02253	-0.01112	0.000261	0.061681	0.015963	0.003065
1.07299999999994	-0.00072	-0.00071	-0.025459	-0.011529	-0.000928	0.034807	0.00973	0.00128
1.07349999999994	-0.005557	0.000717	-0.026849	-0.011618	-0.003027	-0.007278	0.000892	0.001379
1.07399999999994	-0.008105	-3.6e-05	-0.026073	-0.010884	-0.002819	-0.039381	-0.00375	0.004818
1.07449999999994	-0.007008	0.000333	-0.025741	-0.01104	-0.000126	-0.043719	-0.002345	0.00758
1.07499999999994	-0.00545	0.002225	-0.030982	-0.012379	0.000399	-0.034243	0.001675	0.006857
1.07549999999994	-0.007399	0.002651	-0.040091	-0.012492	-0.002638	-0.041323	0.003368	0.005435
1.07599999999994	-0.011943	0.001408	-0.041431	-0.013027	-0.004653	-0.070601	0.001247	0.00528
1.07649999999994	-0.015411	0.001148	-0.027158	-0.020121	-0.003405	-0.093478	-0.001583	0.005585
1.07699999999994	-0.016528	0.001519	-0.007562	-0.035645	-0.001508	-0.083987	-0.002391	0.006136
1.07749999999994	-0.016744	0.000843	-0.001484	-0.051514	-0.000347	-0.050482	-0.001251	0.006004
1.07799999999994	-0.018297	-0.000622	-0.011936	-0.054593	-0.000301	-0.020376	0.001055	0.00518
1.07849999999994	-0.02079	-0.001991	-0.024119	-0.041205	-0.00217	-0.004855	0.004212	0.005793
1.07899999999994	-0.020745	-0.002044	-0.026901	-0.021277	-0.003693	0.004731	0.007836	0.00801
1.07949999999994	-0.017584	-0.000956	-0.023712	-0.004627	-0.001667	0.013994	0.010165	0.010195
1.07999999999994	-0.01487	-0.00088	-0.023056	0.008084	0.002637	0.017066	0.007958	0.012091
1.08049999999994	-0.014892	-0.001739	-0.026555	0.018601	0.005202	0.010127	-0.000107	0.0138
1.08099999999994	-0.017044	-0.001498	-0.028834	0.024103	0.00424	0.000831	-0.00991	0.013732
1.08149999999994	-0.020727	-0.000471	-0.026941	0.02281	0.000949	-0.002382	-0.015556	0.011245
1.08199999999994	-0.026022	-0.000448	-0.025282	0.019238	-0.001675	-0.000665	-0.016041	0.00796
1.08249999999994	-0.0302	-0.001225	-0.027799	0.018385	-0.000654	0.001563	-0.013292	0.004869
1.08299999999994	-0.026159	-0.001245	-0.030123	0.020471	0.003393	0.002876	-0.007233	0.002491
1.08349999999994	-0.008625	-0.000651	-0.025255	0.023299	0.005843	0.003039	0.00122	0.001977
1.08399999999994	0.017365	-0.001035	-0.012561	0.025066	0.003582	0.001688	0.006631	0.003566
1.08449999999994	0.037993	-0.002523	0.002838	0.023776	-0.000696	-5e-06	0.004905	0.005342
1.08499999999994	0.042207	-0.003612	0.016492	0.018879	-0.002165	0.001237	-0.000159	0.00501
1.08549999999994	0.030732	-0.003481	0.026047	0.012775	-6.7e-05	0.006446	-0.00174	0.003411
1.08599999999994	0.01469	-0.00181	0.027256	0.007268	0.002225	0.011022	0.001122	0.002508
1.08649999999994	0.005538	0.001852	0.016492	0.003345	0.001793	0.009761	0.003828	0.001534
1.08699999999994	0.00545	0.005555	-6.4e-05	0.002652	-0.000301	0.006417	0.002948	-0.000352
1.08749999999994	0.008256	0.006077	-0.004859	0.004114	-0.000597	0.013231	-0.000283	-0.001665
1.08799999999994	0.008525	0.004063	0.013905	0.004104	0.001275	0.034073	-0.00217	-0.001639
1.08849999999994	0.006364	0.002367	0.041232	0.00098	0.002062	0.055433	-0.00132	-0.002463
1.08899999999994	0.005218	0.001076	0.047512	-0.003477	0.000263	0.06096	-9.5e-05	-0.005826
1.08949999999994	0.00853	-0.000814	0.026626	-0.006468	-0.00205	0.044343	-0.001286	-0.009992
1.08999999999994	0.015879	-0.0028	0.003767	-0.006958	-0.003063	0.007088	-0.005303	-0.012029
1.09049999999994	0.019585	-0.003831	0.000837	-0.005457	-0.003439	-0.04292	-0.009618	-0.010315
1.09099999999994	0.011816	-0.00312	0.011646	-0.003303	-0.003789	-0.090268	-0.011107	-0.00691
1.09149999999994	-0.000855	-0.001814	0.018183	-0.001887	-0.003345	-0.119443	-0.009236	-0.006224
1.09199999999994	-0.0011	-0.002277	0.014375	-0.000589	-0.002083	-0.126545	-0.005768	-0.008298
1.09249999999994	0.015871	-0.00388	0.004266	0.001933	-0.001	-0.118036	-0.003639	-0.008992
1.09299999999994	0.034234	-0.003717	-0.008241	0.004632	-0.000123	-0.096166	-0.003964	-0.006652
1.09349999999994	0.037744	-0.001048	-0.015986	0.005018	0.000756	-0.056156	-0.003582	-0.003013
1.09399999999994	0.027391	0.002278	-0.004577	0.003133	-0.000197	-0.002405	-0.000206	-8e-06
1.09449999999993	0.015409	0.005273	0.033892	0.001539	-0.004664	0.044111	0.003851	0.000902
1.09499999999993	0.010276	0.008359	0.084256	0.001546	-0.009885	0.06116	0.005374	-0.000459
1.09549999999993	0.010182	0.009851	0.116217	0.002893	-0.010671	0.043736	0.004142	-0.001756
1.09599999999993	0.009697	0.007775	0.111174	0.004102	-0.00625	0.006561	0.003559	-0.001915
1.09649999999993	0.007978	0.004455	0.077303	0.003593	-0.00101	-0.025638	0.00658	-0.002486
1.09699999999993	0.00526	0.002866	0.039098	0.002646	0.001282	-0.030242	0.010962	-0.002765
1.09749999999993	-0.00378	0.00242	0.016069	0.002746	0.000507	-0.003277	0.011891	-0.00131
1.09799999999993	-0.026318	0.002008	0.011911	0.00242	-0.000963	0.032718	0.007758	-0.000138
1.09849999999993	-0.056728	0.001342	0.017888	0.000247	-0.000563	0.048477	0.001566	-0.000869
1.09899999999993	-0.071633	-0.000657	0.021339	-0.002569	0.002254	0.0344	-0.001516	-0.00165
1.09949999999993	-0.054213	-0.003474	0.012195	-0.004642	0.005876	0.003221	0.000942	-0.001059
1.09999999999993	-0.018449	-0.004028	-0.014613	-0.006045	0.008046	-0.029491	0.006396	-0.000188
1.10049999999993	0.006684	-0.001597	-0.056144	-0.00594	0.007334	-0.059534	0.010519	0.000244
1.10099999999993	0.011303	0.000869	-0.099349	-0.003365	0.005137	-0.082925	0.009906	0.000139
1.10149999999993	0.007871	0.001457	-0.129562	0.000646	0.004357	-0.085575	0.00387	-0.000443
1.10199999999993	0.00713	0.000474	-0.140541	0.003383	0.004429	-0.059937	-0.004164	0.0001
1.10249999999993	0.007711	-0.001424	-0.133291	0.001727	0.002962	-0.019663	-0.008907	0.002421
1.10299999999993	0.005721	-0.002742	-0.114774	-0.003791	0.000994	0.01708	-0.007359	0.004305
1.10349999999993	0.001869	-0.00273	-0.099669	-0.009625	0.000927	0.050093	-0.001618	0.00372
1.10399999999993	-5.1e-05	-0.002919	-0.09889	-0.014164	0.002925	0.087933	0.002229	0.001653
1.10449999999993	0.003476	-0.00341	-0.099943	-0.017642	0.005089	0.123918	0.000788	0.00039
1.10499999999993	0.013661	-0.002678	-0.068671	-0.020934	0.004659	0.136901	-0.00233	0.000858
1.10549999999993	0.028063	-0.001067	0.017147	-0.025387	0.001294	0.114344	-0.002725	0.002542
1.10599999999993	0.041136	0.000709	0.131772	-0.031504	-0.001171	0.069942	-0.001388	0.003175
1.10649999999993	0.047844	0.002593	0.208022	-0.036253	0.000253	0.033149	-0.001188	0.001352
1.10699999999993	0.047224	0.003957	0.196913	-0.033195	0.003125	0.019504	-0.00245	-0.000988
1.10749999999993	0.041642	0.005384	0.1218	-0.019523	0.003653	0.021952	-0.003576	-0.001721
1.10799999999993	0.033197	0.008072	0.052333	-0.000201	0.002353	0.027921	-0.002476	-0.000423
1.10849999999993	0.023352	0.010461	0.024995	0.017753	0.001578	0.031114	0.001139	0.002284
1.10899999999993	0.015925	0.010134	0.019008	0.03092	0.001326	0.0305	0.003341	0.004716
1.10949999999993	0.015674	0.007856	0.006138	0.03814	0.000947	0.027889	0.000571	0.004699
1.10999999999993	0.020152	0.00537	-0.016606	0.039788	0.000975	0.026717	-0.004464	0.002671
1.11049999999993	0.020056	0.002304	-0.043297	0.037844	0.001967	0.028471	-0.007061	0.001811
1.11099999999993	0.013923	-0.000995	-0.067551	0.032072	0.003363	0.029986	-0.006403	0.002204
1.11149999999993	0.010968	-0.002581	-0.073316	0.023024	0.003543	0.026591	-0.003114	0.001202
1.11199999999993	0.013352	-0.002131	-0.051014	0.016166	0.001891	0.01805	0.001928	-0.001254
1.11249999999993	0.010536	-0.00108	-0.020353	0.013139	-0.000511	0.009385	0.005564	-0.003139
1.11299999999993	-0.001001	-0.001017	-0.009575	0.010075	-0.003422	0.003805	0.006114	-0.002845
1.11349999999993	-0.007628	-0.002177	-0.019248	0.008205	-0.006989	-0.001836	0.005428	-0.000893
1.11399999999993	0.000265	-0.003124	-0.029739	0.012078	-0.009038	-0.012227	0.004491	0.000309
1.11449999999993	0.010045	-0.003504	-0.034286	0.019801	-0.007687	-0.027432	0.002014	-0.000927
1.11499999999993	0.003849	-0.004472	-0.043282	0.024355	-0.004796	-0.042868	-0.002259	-0.004377
1.11549999999993	-0.016248	-0.006035	-0.06274	0.021545	-0.003005	-0.054038	-0.005391	-0.007868
1.11599999999993	-0.036919	-0.006756	-0.083764	0.011981	-0.002227	-0.058579	-0.005078	-0.009167
1.11649999999993	-0.060734	-0.005701	-0.091946	-0.002918	-0.001131	-0.054833	-0.003561	-0.008424
1.11699999999993	-0.099218	-0.003555	-0.08124	-0.021568	0.000418	-0.043913	-0.003533	-0.007007
1.11749999999993	-0.137749	-0.001607	-0.058465	-0.038586	0.001121	-0.032099	-0.003934	-0.005162
1.11799999999993	-0.139466	-0.00041	-0.032971	-0.047802	-0.000172	-0.026235	-0.002314	-0.0028
1.11849999999993	-0.095345	0.000302	-0.00091	-0.050314	-0.002393	-0.026408	0.001109	-0.001841
1.11899999999993	-0.042801	0.000614	0.052119	-0.050759	-0.003233	-0.026774	0.002484	-0.003481
1.11949999999993	-0.019962	6.8e-05	0.125413	-0.048314	-0.002001	-0.023031	-0.000901	-0.004965
1.11999999999993	-0.023631	-0.001215	0.190128	-0.039287	4e-06	-0.013917	-0.005568	-0.003773
1.12049999999993	-0.028094	-0.002518	0.214264	-0.023205	0.001081	0.00113	-0.006376	-0.001019
1.12099999999993	-0.023156	-0.003152	0.191969	-0.004256	0.000691	0.021155	-0.003671	0.000112
1.12149999999993	-0.015693	-0.00336	0.138501	0.01192	-0.000632	0.041379	-0.00056	-0.002363
1.12199999999993	-0.011351	-0.004126	0.070866	0.02348	-0.001439	0.053695	0.001906	-0.006279
1.12249999999993	-0.009389	-0.004902	0.004927	0.031768	-0.000192	0.05384	0.003013	-0.007556
1.12299999999993	-0.007541	-0.004471	-0.044126	0.03687	0.001722	0.046069	0.002087	-0.005101
1.12349999999993	-0.002985	-0.002871	-0.072351	0.036658	0.001742	0.037612	0.000917	-0.00178
1.12399999999993	0.009069	-0.000504	-0.090375	0.031112	0.000326	0.031097	0.001349	-0.000173
1.12449999999993	0.029605	0.002583	-0.110014	0.022801	-0.000902	0.023396	0.001237	0.000217
1.12499999999993	0.047923	0.006246	-0.129775	0.012157	-0.001922	0.009725	-0.003238	0.000363
1.12549999999993	0.047521	0.009314	-0.131468	0.001778	-0.003947	-0.012329	-0.011657	0.001256
1.12599999999993	0.025724	0.010674	-0.091091	-0.001592	-0.00711	-0.037559	-0.018559	0.003301
1.12649999999993	0.000293	0.010897	-0.001972	0.002752	-0.008513	-0.050455	-0.019008	0.004503
1.12699999999993	-0.010518	0.009349	0.104295	0.008289	-0.006099	-0.036856	-0.014135	0.003979
1.12749999999993	-0.005324	0.003622	0.170002	0.009936	-0.002392	-0.003214	-0.010089	0.002991
1.12799999999993	0.005899	-0.00451	0.16428	0.006668	-0.000133	0.022712	-0.010851	0.002504
1.12849999999993	0.01518	-0.009099	0.114571	0.000337	0.000999	0.018788	-0.013463	0.00308
1.12899999999993	0.021245	-0.008041	0.067893	-0.004989	0.001316	-0.005458	-0.012203	0.004646
1.12949999999993	0.025316	-0.004855	0.042753	-0.007715	0.000388	-0.016887	-0.0062	0.006274
1.12999999999993	0.027198	-0.00269	0.037098	-0.009587	-0.000536	0.002128	0.000494	0.006719
1.13049999999993	0.02532	-0.001539	0.053338	-0.008754	-0.000246	0.029225	0.005387	0.006252
1.13099999999993	0.019737	-0.00052	0.085908	-0.002624	0.000457	0.028404	0.010058	0.006087
1.13149999999993	0.013653	-0.000343	0.101941	0.005083	0.001169	-0.010224	0.015536	0.005359
1.13199999999993	0.00997	-0.002326	0.067894	0.009973	0.001973	-0.067908	0.018351	0.002869
1.13249999999993	0.008398	-0.0047	-0.007286	0.011796	0.002012	-0.115644	0.015098	-0.000446
1.13299999999993	0.007015	-0.003458	-0.079038	0.010528	0.001772	-0.128896	0.009325	-0.002888
1.13349999999993	0.006054	0.001311	-0.115974	0.005986	0.002626	-0.103181	0.008018	-0.003471
1.13399999999993	0.007555	0.004245	-0.122059	0.00125	0.003328	-0.060687	0.011883	-0.002334
1.13449999999993	0.010873	0.002124	-0.113493	-0.000352	0.002407	-0.033848	0.014979	-0.000685
1.13499999999993	0.012975	-0.002264	-0.09876	0.00021	0.001158	-0.03782	0.014028	0.000935
